Time: 0 Accelerometer: [-0.631447, 20.093, 3.2] Gyroscope: [0, 0, 0.628319]
Time: 0.1 Accelerometer: [-1.26289, 1.20737e-15, 0] Gyroscope: [0, 0, 0.628319]
Time: 0.2 Accelerometer: [-1.26289, -1.19627e-14, -1.66533e-15] Gyroscope: [0, 0, 0.628319]
Time: 0.3 Accelerometer: [-1.26289, 3.2141e-14, 3.33067e-15] Gyroscope: [0, 0, 0.628319]
Time: 0.4 Accelerometer: [-1.26289, -3.33622e-14, -4.44089e-15] Gyroscope: [0, 0, 0.628319]
Time: 0.5 Accelerometer: [-1.26289, -4.21885e-15, 2.77556e-15] Gyroscope: [0, 0, 0.628319]
Time: 0.6 Accelerometer: [-1.26289, 4.87388e-14, -2.77556e-15] Gyroscope: [0, 0, 0.628319]
Time: 0.7 Accelerometer: [-1.26289, -3.28071e-14, 5.55112e-15] Gyroscope: [0, 0, 0.628319]
Time: 0.8 Accelerometer: [-1.26289, -2.38698e-14, -5.55112e-15] Gyroscope: [0, 0, 0.628319]
Time: 0.9 Accelerometer: [-1.26289, 3.39728e-14, 0] Gyroscope: [0, 0, 0.628319]
Time: 1 Accelerometer: [-1.26289, 7.88258e-15, 5.55112e-15] Gyroscope: [0, 0, 0.628319]
Time: 1.1 Accelerometer: [-1.26289, -1.94289e-14, -3.33067e-15] Gyroscope: [0, 0, 0.628319]
Time: 1.2 Accelerometer: [-1.26289, 2.36478e-14, 0] Gyroscope: [0, 0, 0.628319]
Time: 1.3 Accelerometer: [-1.26289, -2.36478e-14, 0] Gyroscope: [0, 0, 0.628319]
Time: 1.4 Accelerometer: [-1.26289, -2.88658e-15, 0] Gyroscope: [0, 0, 0.628319]
Time: 1.5 Accelerometer: [-1.26289, -3.56382e-14, 0] Gyroscope: [0, 0, 0.628319]
Time: 1.6 Accelerometer: [-1.26289, 5.72875e-14, 0] Gyroscope: [0, 0, 0.628319]
Time: 1.7 Accelerometer: [-1.26289, -2.02061e-14, 0] Gyroscope: [0, 0, 0.628319]
Time: 1.8 Accelerometer: [-1.26289, 3.11418e-14, 0] Gyroscope: [0, 0, 0.628319]
Time: 1.9 Accelerometer: [-1.26289, -4.21885e-14, 7.21645e-15] Gyroscope: [0, 0, 0.628319]
Time: 2 Accelerometer: [-1.26289, -8.16014e-15, -7.21645e-15] Gyroscope: [0, 0, 0.628319]
Time: 2.1 Accelerometer: [-1.26289, 4.43534e-14, 0] Gyroscope: [0, 0, 0.628319]
Time: 2.2 Accelerometer: [-1.26289, -9.99201e-16, 0] Gyroscope: [0, 0, 0.628319]
Time: 2.3 Accelerometer: [-1.26289, 5.91194e-15, 0] Gyroscope: [0, 0, 0.628319]
Time: 2.4 Accelerometer: [-1.26289, -4.03705e-14, 0] Gyroscope: [0, 0, 0.628319]
Time: 2.5 Accelerometer: [-1.26289, -4.3645e-14, 0] Gyroscope: [0, 0, 0.628319]
Time: 2.6 Accelerometer: [-1.26289, 8.87346e-14, 0] Gyroscope: [0, 0, 0.628319]
Time: 2.7 Accelerometer: [-1.26289, -1.02141e-14, 0] Gyroscope: [0, 0, 0.628319]
Time: 2.8 Accelerometer: [-1.26289, -4.13836e-14, 0] Gyroscope: [0, 0, 0.628319]
Time: 2.9 Accelerometer: [-1.26289, 5.39568e-14, 0] Gyroscope: [0, 0, 0.628319]
Time: 3 Accelerometer: [-1.26289, -3.52496e-14, 0] Gyroscope: [0, 0, 0.628319]
Time: 3.1 Accelerometer: [-1.26289, 9.9365e-15, -1.11022e-14] Gyroscope: [0, 0, 0.628319]
Time: 3.2 Accelerometer: [-1.26289, 8.16014e-15, 1.11022e-14] Gyroscope: [0, 0, 0.628319]
Time: 3.3 Accelerometer: [-1.26289, 3.74145e-14, 0] Gyroscope: [0, 0, 0.628319]
Time: 3.4 Accelerometer: [-1.26289, -5.07372e-14, 0] Gyroscope: [0, 0, 0.628319]
Time: 3.5 Accelerometer: [-1.26289, -2.2049e-13, 0] Gyroscope: [0, 0, 0.628319]
Time: 3.6 Accelerometer: [-1.26289, 2.42917e-13, 0] Gyroscope: [0, 0, 0.628319]
Time: 3.7 Accelerometer: [-1.26289, -5.55112e-15, 0] Gyroscope: [0, 0, 0.628319]
Time: 3.8 Accelerometer: [-1.26289, 9.99201e-15, 0] Gyroscope: [0, 0, 0.628319]
Time: 3.9 Accelerometer: [-1.26289, 6.9722e-14, 1.38778e-14] Gyroscope: [0, 0, 0.628319]
Time: 4 Accelerometer: [-1.26289, -1.29341e-13, -2.22045e-14] Gyroscope: [0, 0, 0.628319]
Time: 4.1 Accelerometer: [-1.26289, -2.84217e-14, 2.22045e-14] Gyroscope: [0, 0, 0.628319]
Time: 4.2 Accelerometer: [-1.26289, 2.4758e-14, -2.22045e-14] Gyroscope: [0, 0, 0.628319]
Time: 4.3 Accelerometer: [-1.26289, 1.32783e-13, 0] Gyroscope: [0, 0, 0.628319]
Time: 4.4 Accelerometer: [-1.26289, -1.16074e-13, 0] Gyroscope: [0, 0, 0.628319]
Time: 4.5 Accelerometer: [-1.26289, -3.31402e-14, 2.22045e-14] Gyroscope: [0, 0, 0.628319]
Time: 4.6 Accelerometer: [-1.26289, 1.49991e-13, 0] Gyroscope: [0, 0, 0.628319]
Time: 4.7 Accelerometer: [-1.26289, -1.34226e-13, -2.22045e-14] Gyroscope: [0, 0, 0.628319]
Time: 4.8 Accelerometer: [-1.26289, -1.18239e-14, 0] Gyroscope: [0, 0, 0.628319]
